,Original,Type,Param1,Param2,Stat,Sign,Reported p-value
188187,"F(1, 73) = 12.4, p < .001",f,1.0,73.0,12.4,<,0.001
173136,"F(16, 80) = 2.73, p = .002",f,16.0,80.0,2.73,=,0.002
83312,"F(1, 324) = 7.06, p < .05",f,1.0,324.0,7.06,<,0.05
168367,"F (1, 14) = 11.80, p = .004",f,1.0,14.0,11.8,=,0.004
50299,"F(1, 84) = 280.70, p < .001",f,1.0,84.0,280.7,<,0.001
150444,"F(3, 57) = 6.18, p <.001",f,3.0,57.0,6.18,<,0.001
135535,"t(13) = 1.80, p = .041",t,13.0,,1.8,=,0.041
156992,"F(1, 40) = 4.422, p = .042",f,1.0,40.0,4.422,=,0.042
58214,"F(1, 24) = 6.99, p < .02",f,1.0,24.0,6.99,<,0.02
195731,"F(1, 31) = 32.217, p < .001",f,1.0,31.0,32.217,<,0.001
138800,"F(3, 168) = 4.18, p = .01",f,3.0,168.0,4.18,=,0.01
129842,"t(82) = 2.71, p < .01",t,82.0,,2.71,<,0.01
56079,"t(149) = 5.39, p < .001",t,149.0,,5.39,<,0.001
186609,"t(97) = 4.53, p = .0001",t,97.0,,4.53,=,0.0001
190978,"F(3, 57) = 6.53, p < .01",f,3.0,57.0,6.53,<,0.01
116137,"F(3, 214) = 37.03, p < .001",f,3.0,214.0,37.03,<,0.001
127566,"F(3, 30) = 3.51, p < .05",f,3.0,30.0,3.51,<,0.05
82622,"F(1, 336) = 183.54, p < .001",f,1.0,336.0,183.54,<,0.001
113409,"F(1, 64) = 9.21, p < .05",f,1.0,64.0,9.21,<,0.05
173069,"t(15) = 2.40, p < .05",t,15.0,,2.4,<,0.05
168193,"F(1, 80)   = 5.27, p <.05",f,1.0,80.0,5.27,<,0.05
191714,"t(52) = 2.76, p < .01",t,52.0,,2.76,<,0.01
153375,"t(55) = 2.976, p = .004",t,55.0,,2.976,=,0.004
87162,"F(1, 108) = 14.39, p < .0001",f,1.0,108.0,14.39,<,0.0001
117103,"t(59) = 2.30, p < .05",t,59.0,,2.3,<,0.05
125172,"F(1, 33) = 93.86, p < .01",f,1.0,33.0,93.86,<,0.01
56027,"F(1, 73) = 13.44, p < .001",f,1.0,73.0,13.44,<,0.001
170266,"F(1, 34) = 11.38, p < .01",f,1.0,34.0,11.38,<,0.01
